dtidx,id,px
5790,sec_8,1443.69
5791,sec_8,1430.15
5792,sec_8,1426.66
5793,sec_8,1419.83
5794,sec_8,1418.1
5795,sec_8,1402.43
5796,sec_8,1426.19
5797,sec_8,1462.42
5798,sec_8,1459.37
5799,sec_8,1466.47
5800,sec_8,1461.89
5801,sec_8,1457.15
5802,sec_8,1461.02
5803,sec_8,1472.12
5804,sec_8,1472.05
5805,sec_8,1470.68
5806,sec_8,1472.34
5807,sec_8,1472.63
5808,sec_8,1480.94
5809,sec_8,1485.98
5810,sec_8,1492.56
5811,sec_8,1494.81
5812,sec_8,1494.82
5813,sec_8,1502.96
5814,sec_8,1500.18
5815,sec_8,1507.84
5816,sec_8,1501.96
5817,sec_8,1498.11
5818,sec_8,1513.17
5819,sec_8,1495.71
5820,sec_8,1511.29
5821,sec_8,1512.12
5822,sec_8,1509.39
5823,sec_8,1517.93
5824,sec_8,1517.01
5825,sec_8,1519.43
5826,sec_8,1520.33
5827,sec_8,1521.38
5828,sec_8,1519.79
5829,sec_8,1530.94
5830,sec_8,1511.95
5831,sec_8,1502.42
5832,sec_8,1515.6
5833,sec_8,1487.85
5834,sec_8,1496.94
5835,sec_8,1515.99
5836,sec_8,1514.68
